# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      37.672      321.400      254.844   399953.203
      37.782      337.200      256.062   399954.203
      37.892      341.300      255.906   399954.203
      37.996      225.800      255.094   399953.203
      38.106      261.500      257.719   399964.203
      38.207      315.300      259.297   399966.203
      38.317      329.400      258.453   399965.203
      38.419      320.700      256.516   399963.203
      38.522      291.700      254.156   399960.203
      38.632      283.000      255.156   399961.203
      38.733      297.400      254.156   399960.203
      38.842      331.100      255.156   399961.203
      38.952      333.200      254.156   399960.203
      39.056      322.000      254.156   399960.203
      39.162      332.000      254.156   399960.203
      39.272      328.900      254.156   399960.203
      39.373      321.300      254.156   399960.203
      39.480      311.800      254.156   399960.203
      39.586      293.800      254.156   399960.203
      39.697      315.500      255.156   399961.203
      39.806      321.300      255.156   399961.203
      39.913      329.200      255.156   399961.203
      40.021      325.100      255.156   399961.203
      40.122      321.400      254.156   399960.203
      40.228      329.000      255.156   399961.203
      40.331      317.600      254.156   399960.203
      40.441      342.000      254.156   399960.203
      40.551      333.400      255.156   399961.203
      40.661      331.700      254.156   399960.203
      40.763      319.500      255.156   399961.203
      40.864      339.600      254.156   399960.203
      40.967      331.300      254.156   399960.203
      41.074      322.200      254.156   399960.203
      41.177      340.800      254.156   399960.203
      41.284      338.700      254.156   399960.203
      41.393      307.700      255.156   399961.203
      41.496      326.200      254.156   399960.203
      41.607      356.500      254.156   399960.203
      41.717      327.800      255.156   399961.203
      41.820      319.400      255.156   399961.203
      41.922      323.800      254.156   399960.203
      42.029      346.200      254.156   399960.203
      42.139      329.200      254.156   399960.203
      42.247      328.200      254.156   399960.203
      42.353      333.500      255.172   399961.203
      42.455      327.400      242.172   399948.203
      42.560      333.900      241.875   399948.203
      42.665      309.100      255.172   399961.203
      42.775      333.600      242.172   399948.203
      42.885      325.300      254.672   399961.203
      42.995      338.400      255.172   399961.203
      43.103      318.900      256.469   399963.203
      43.209      332.500      255.875   399962.203
      43.312      293.700      255.172   399961.203
      43.415      247.600      255.172   399961.203
      43.526      330.600      255.172   399961.203
      43.633      324.600      255.172   399961.203
      43.744      323.400      255.172   399961.203
      43.855      327.800      254.172   399960.203
      43.964      321.500      254.172   399960.203
      44.067      342.000      254.172   399960.203
      44.170      339.500      254.172   399960.203
      44.276      333.800      254.172   399960.203
      44.386      323.200      254.172   399960.203
      44.492      340.200      254.172   399960.203
      44.602      328.400      255.172   399961.203
      44.713      337.100      254.172   399960.203
      44.817      339.000      255.172   399961.203
      44.919      335.600      254.172   399960.203
      45.026      338.800      254.172   399960.203
      45.133      328.000      254.172   399960.203
      45.243      330.600      254.172   399960.203
      45.354      321.200      254.172   399960.203
      45.464      322.500      254.172   399960.203
      45.574      253.200      257.453   399964.203
      45.684      321.800      259.062   399965.203
      45.788      312.100      258.703   399965.203
      45.892      322.800      258.281   399965.203
      46.002      319.600      258.344   399965.203
      46.105      322.800      258.719   399965.203
      46.206      236.500      255.172   399961.203
      46.315      313.700      254.172   399960.203
      46.425      327.200      255.172   399961.203
      46.529      322.500      255.172   399961.203
      46.640      321.200      254.172   399960.203
      46.750      325.400      255.172   399961.203
      46.852      339.400      254.172   399960.203
      46.962      336.800      254.172   399960.203
      47.063      328.200      254.172   399960.203
      47.173      321.000      254.172   399960.203
      47.275      290.900      254.172   399960.203
      47.382      294.900      254.172   399960.203
      47.487      327.400      255.172   399961.203
      47.588      331.700      254.172   399960.203
      47.689      315.500      255.172   399961.203
      47.794      329.900      254.172   399960.203
      47.902      299.200      254.172   399960.203
      48.012      294.800      254.172   399960.203
      48.113      329.900      254.172   399960.203
      48.216      323.700      261.109   399967.203
      48.323      326.600      260.328   399967.203
      48.428      331.700      260.578   399967.203
      48.532      302.300      254.172   399960.203
      48.642      288.300      255.172   399961.203
      48.747      276.100      254.172   399960.203
      48.856      324.900      254.172   399960.203
      48.962      331.800      247.172   399953.203
      49.070      318.600      253.578   399961.203
      49.172      325.100      255.172   399961.203
      49.282      342.000      248.172   399954.203
      49.392      328.100      254.125   399961.203
      49.502      321.900      254.172   399960.203
      49.612      307.900      254.172   399960.203
      49.722      298.200      254.172   399960.203
      49.832      308.700      255.172   399961.203
      49.942      256.400      256.266   399963.203
      50.051      333.500      256.453   399963.203
      50.152      319.100      256.422   399963.203
      50.256      324.400      254.766   399961.203
      50.365      333.400      256.219   399963.203
      50.469      326.000      256.109   399962.203
      50.570      313.300      254.219   399961.203
      50.680      287.800      254.172   399960.203
      50.791      310.400      254.297   399961.203
      50.901      320.300      255.172   399961.203
      51.005      331.000      254.172   399960.203
      51.110      277.200      255.172   399961.203
      51.212      333.700      254.172   399960.203
      51.321      326.200      255.172   399961.203
      51.430      325.400      254.172   399960.203
      51.540      343.300      255.172   399961.203
      51.641      299.100      254.172   399960.203
      51.751      316.800      254.172   399960.203
      51.861      331.800      254.172   399960.203
      51.971      312.000      254.172   399960.203
      52.081      322.900      254.172   399960.203
      52.183      331.200      255.172   399961.203
      52.289      323.600      255.188   399961.203
      52.400      305.500      254.188   399960.203
      52.505      320.100      254.188   399960.203
      52.613      323.700      255.188   399961.203
      52.722      275.500      258.922   399965.203
      52.829      324.300      258.859   399965.203
      52.935      324.600      259.359   399966.203
      53.040      331.500      258.656   399965.203
      53.148      327.000      258.609   399965.203
      53.258      321.000      260.812   399967.203
      53.363      339.300      254.188   399960.203
      53.471      326.500      254.188   399960.203
      53.579      276.300      254.188   399960.203
      53.679      237.700      257.469   399964.203
      53.787      327.700      259.016   399965.203
      53.897      312.200      261.406   399968.203
      54.008      337.000      254.188   399960.203
      54.113      321.800      255.188   399961.203
      54.220      300.100      254.188   399960.203
      54.324      324.900      261.062   399967.203
      54.428      333.200      258.781   399965.203
      54.528      327.200      258.141   399964.203
      54.632      314.900      258.391   399965.203
      54.735      306.200      256.625   399963.203
      54.840      311.800      255.859   399962.203
      54.942      327.100      255.844   399962.203
      55.050      330.400      256.578   399963.203
      55.158      329.400      255.922   399962.203
      55.269      306.100      256.109   399962.203
      55.379      330.800      256.016   399962.203
      55.481      324.300      256.594   399963.203
      55.589      327.700      256.750   399963.203
      55.690      342.600      256.078   399962.203
      55.797      328.200      256.359   399963.203
      55.903      330.900      256.906   399963.203
      56.013      314.900      256.734   399963.203
      56.123      327.200      256.141   399962.203
      56.232      317.800      256.250   399963.203
      56.342      324.500      258.750   399965.203
      56.447      327.700      256.109   399962.203
      56.547      334.600      256.031   399962.203
      56.655      325.300      256.375   399963.203
      56.757      315.700      256.062   399962.203
      56.864      314.000      256.641   399963.203
      56.964      335.700      255.984   399962.203
      57.070      347.700      256.609   399963.203
      57.180      336.400      256.422   399963.203
      57.289      330.800      256.703   399963.203
      57.392      332.000      255.891   399962.203
      57.502      346.400      257.641   399964.203
      57.607      323.500      257.984   399964.203
      57.711      326.400      258.406   399965.203
      57.818      322.500      259.016   399965.203
      57.922      330.200      258.688   399965.203
      58.028      316.600      258.469   399965.203
      58.131      315.500      256.594   399963.203
      58.234      330.400      256.453   399963.203
      58.339      325.600      256.016   399962.203
      58.446      333.300      254.172   399962.203
      58.553      341.100      252.953   399964.203
      58.654      331.700      258.828   399965.203
      58.764      313.700      258.891   399965.203
      58.866      314.300      256.391   399963.203
      58.972      318.100      256.391   399963.203
      59.080      255.300      254.203   399960.203
      59.190      235.500      257.312   399964.203
      59.298      329.600      261.344   399968.203
