# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      49.207      105.200      350.719   402494.500
      49.313       92.300      350.719   402494.500
      49.418       87.200      350.719   402494.500
      49.522       84.200      350.719   402494.500
      49.632       91.800      350.719   402494.500
      49.740       96.400      350.719   402494.500
      49.849      104.400      350.719   402494.500
      49.958      108.200      350.719   402494.500
      50.067       76.800      350.719   402494.500
      50.170       87.800      350.719   402494.500
      50.278       97.400      317.594   402449.828
      50.379       95.200      317.594   402449.828
      50.490      112.400      317.594   402449.828
      50.596       81.600      317.594   402449.828
      50.698       95.000      317.594   402449.828
      50.801      105.300      317.594   402449.828
      50.901       92.000      317.594   402449.828
      51.009      115.500      317.594   402449.828
      51.119       96.800      317.594   402449.828
      51.221      115.400      317.594   402449.828
      51.328       73.800      317.594   402449.828
      51.432       97.400      317.594   402449.828
      51.542       79.100      317.594   402449.828
      51.649      106.400      317.594   402449.828
      51.759      117.600      317.594   402449.828
      51.864       95.900      317.594   402449.828
      51.965      105.000      317.594   402449.828
      52.074       92.400      317.594   402449.828
      52.178      103.800      317.594   402449.828
      52.289       90.000      317.594   402449.828
      52.396      115.400      317.594   402449.828
      52.505      106.200      317.594   402449.828
      52.614      103.500      317.594   402449.828
      52.723      101.700      317.594   402449.828
      52.829       91.900      317.594   402449.828
      52.930       99.400      317.594   402449.828
      53.038      106.900      317.594   402449.828
      53.148       88.500      331.688   402475.500
      53.259      102.000      331.688   402475.500
      53.369       82.900      331.688   402475.500
      53.479      109.800      331.688   402475.500
      53.588       90.200      331.688   402475.500
      53.698      116.300      331.688   402475.500
      53.809       89.100      331.688   402475.500
      53.913      101.500      331.688   402475.500
      54.025      116.800      331.688   402475.500
      54.129       97.700      317.594   402449.828
      54.233       85.100      317.594   402449.828
      54.341      114.800      317.594   402449.828
      54.452      105.600      317.594   402449.828
      54.558      101.500      317.594   402449.828
      54.667      120.500      317.594   402449.828
      54.771       85.100      317.594   402449.828
      54.873       90.200      317.594   402449.828
      54.979       96.800      317.594   402449.828
      55.090       92.800      317.594   402449.828
      55.194       79.400      317.594   402449.828
      55.300       83.200      317.594   402449.828
      55.403       85.400      317.594   402449.828
      55.514      104.900      317.594   402449.828
      55.621      104.100      317.594   402449.828
      55.722      116.600      317.594   402449.828
      55.829      100.400      317.594   402449.828
      55.938      117.000      317.594   402449.828
      56.046       78.900      317.594   402449.828
      56.156       82.100      317.594   402449.828
      56.264       92.500      317.594   402449.828
      56.375       93.500      317.594   402449.828
      56.483      111.500      317.594   402449.828
      56.588       94.000      317.594   402449.828
      56.696      100.800      317.594   402449.828
      56.802       88.300      317.594   402449.828
      56.910      103.200      317.594   402449.828
      57.018       85.800      317.594   402449.828
